title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url,description,title_clean,author_clean,summary_gpt,themes,tone,age_range,needs_fix
The Little House,Virginia Lee Burton,https://www.goodreads.com/book/show/153540.The_Little_House,The Little House,Virginia Lee Burton,https://covers.openlibrary.org/b/id/8772064-L.jpg,https://openlibrary.org/works/OL3253362W,"A country house is unhappy when the city, with all its buildings and traffic, grows up around her.",The Little House,Virginia Lee Burton,"A country house feels unhappy as the city grows up around her, bringing buildings and traffic.","urbanization, change, nature",sad,6-8,False
Hop On Pop,Dr. Seuss,https://www.goodreads.com/book/show/206962.Hop_On_Pop,Hop on Pop,Dr. Seuss,https://covers.openlibrary.org/b/id/254551-L.jpg,https://openlibrary.org/works/OL261164W,"**LibraryThing: Pairs of rhyming words are introduced and used in simple sentences, such as ""Day. Play. We play all day. Night. Fight. We fight all night.""",Hop On Pop,Dr. Seuss,"A book that introduces pairs of rhyming words in simple sentences, perfect for young children learning to read.","rhyming words, learning, daily activities",playful,3-5,False
Harry the Dirty Dog,Gene Zion,https://www.goodreads.com/book/show/857448.Harry_the_Dirty_Dog,Harry the Dirty Dog,Gene Zion,https://covers.openlibrary.org/b/id/24282-L.jpg,https://openlibrary.org/works/OL1973379W,"When a white dog with black spots runs away from home, he gets so dirty his family doesn't recognize him as a black dog with white spots.",Harry The Dirty Dog,Gene Zion,A dog runs away from home and gets so dirty that his family mistakes him for a different dog.,"identity, family, adventure",whimsical,3-5,False
The Runaway Bunny,Margaret Wise Brown,https://www.goodreads.com/book/show/58922.The_Runaway_Bunny,The Runaway Bunny,Margaret Wise Brown,https://covers.openlibrary.org/b/id/8743590-L.jpg,https://openlibrary.org/works/OL151861W,"A little rabbit who wants to run away tells his mother how he will escape, but she is always right behind him.",The Runaway Bunny,Margaret Wise Brown,"A little rabbit expresses a desire to run away from home, but his mother is always close by.","family, independence, love",reassuring,3-5,False
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,https://covers.openlibrary.org/b/id/10580435-L.jpg,https://openlibrary.org/works/OL82536W,"For Harry Potter, it’s the start of another far-from-ordinary year at Hogwarts when the Knight Bus crashes through the darkness and comes to an abrupt halt in front of him.

It turns out that Sirius Black, mass-murderer and follower of Lord Voldemort, has escaped – and they say he is coming after Harry.

In his first Divination class, Professor Trelawney sees an omen of death in Harry’s tea leaves.

And perhaps most frightening of all are the Dementors patrolling the school grounds with their soul-sucking kiss – in search of fresh victims.

([source][1])


  [1]: https://www.jkrowling.com/book/harry-potter-prisoner-azkaban/","Harry Potter And The Prisoner Of Azkaban (Harry Potter, #3)",J.K. Rowling,A young wizard faces new challenges at his magical school as a dangerous criminal escapes and threatens his life. Dark omens and soul-sucking creatures add to the suspenseful atmosphere.,"friendship, courage, danger, magic",suspenseful,9-12,False
Stone Soup,Jon J. Muth,https://www.goodreads.com/book/show/331701.Stone_Soup,Stone soup,Jon J. Muth,https://covers.openlibrary.org/b/id/277258-L.jpg,https://openlibrary.org/works/OL2222906W,"Three strangers, hungry and tired, pass through a war-torn village. Embittered and suspicious from the war, the people hide their food and close their windows tight. That is, until the clever strangers suggest making a soup from stones. Intrigued by the idea, everyone brings what they have until-- together, they have made a feast fit for a king! (amazon).

The story tell us that giving is happiness and sharing makes us all richer..",Stone Soup,Jon J. Muth,"Three clever strangers visit a war-torn village and come up with a creative idea to make soup from stones, inspiring the villagers to come together and create a feast.","generosity, community, creativity",heartwarming,6-8,False
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,Harry Potter and the Chamber of Secrets,J. K. Rowling,https://covers.openlibrary.org/b/id/8392798-L.jpg,https://openlibrary.org/works/OL82537W,"Throughout the summer holidays after his first year at Hogwarts School of Witchcraft and Wizardry, Harry Potter has been receiving sinister warnings from a house-elf called Dobby.

Now, back at school to start his second year, Harry hears unintelligible whispers echoing through the corridors.

Before long the attacks begin: students are found as if turned to stone.

Dobby’s predictions seem to be coming true.

[Source][1]


  [1]: https://www.jkrowling.com/book/harry-potter-chamber-secrets/","Harry Potter And The Chamber Of Secrets (Harry Potter, #2)",J.K. Rowling,"A young wizard, Harry Potter, returns to Hogwarts for his second year and faces mysterious warnings, whispers, and attacks that seem to be linked to predictions from a house-elf named Dobby.","mystery, friendship, magic, loyalty",mysterious,9-12,False
Peter Pan,J.M. Barrie,https://www.goodreads.com/book/show/34268.Peter_Pan,Peter Pan,J. M. Barrie,https://covers.openlibrary.org/b/id/8237052-L.jpg,https://openlibrary.org/works/OL462007W,"The adventures of the three Darling children in Never-Never Land with Peter Pan, the boy who would not grow up.


----------
###German-language description:
Peter Pan, das ist der Junge, der nie erwachsen wird und auf einer Insel lebt, auf der alles möglich st. Wendy und ihre Brüder können noch nicht ahnen, was sie erwartet, als sie auf der Insel landen: Zusammen mit anderen Kindern geraten sie in die Hände gefährlicher Piraten! Doch Rettung naht, denn auf Peter Pan können sich seine Freunde verlassen.",Peter Pan,J.M. Barrie,"The adventures of the Darling children with Peter Pan in Never-Never Land, facing dangerous pirates but finding rescue with Peter's help.","imagination, friendship, adventure",whimsical,6-8,False
"Frog and Toad Together (Frog and Toad, #2)",Arnold Lobel,https://www.goodreads.com/book/show/94803.Frog_and_Toad_Together,Frog and Toad Together,Arnold Lobel,https://covers.openlibrary.org/b/id/11304253-L.jpg,https://openlibrary.org/works/OL1973422W,"Frog and Toad Together is an American fantasy adventure children's picture book, written and illustrated by Arnold Lobel and published by Harper & Row in 1972. It is the second book in the Frog and Toad series. Like each of the other four books in the series, it contains five easy-to-read short stories. It was a Newbery Honor Book, or runner-up for the American Library Association Newbery Medal, which recognizes the year's ""most distinguished contribution to American literature for children"".

----------
Also contained in:
[Adventures of Frog and Toad](https://openlibrary.org/works/OL15428561W)
[The Frog and Toad Treasury](https://openlibrary.org/works/OL1973505W)","Frog And Toad Together (Frog And Toad, #2)",Arnold Lobel,"A collection of five short stories featuring Frog and Toad, filled with adventures and friendship.","friendship, adventure, nature",whimsical,4-8,False
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,Harry Potter and the Deathly Hallows,J. K. Rowling,https://covers.openlibrary.org/b/id/10110415-L.jpg,https://openlibrary.org/works/OL82586W,"Harry Potter is leaving Privet Drive for the last time. But as he climbs into the sidecar of Hagrid’s motorbike and they take to the skies, he knows Lord Voldemort and the Death Eaters will not be far behind.

The protective charm that has kept him safe until now is broken. But the Dark Lord is breathing fear into everything he loves. And he knows he can’t keep hiding.

To stop Voldemort, Harry knows he must find the remaining Horcruxes and destroy them.

He will have to face his enemy in one final battle.

([source][1])


----------
See also:

 - [Harry Potter and the Deathly Hallows: 2/2][2]


  [1]: https://www.jkrowling.com/book/harry-potter-deathly-hallows/
  [2]: https://openlibrary.org/works/OL17922343W/Harry_Potter_and_the_Deathly_Hallows_Chapters_20-36","Harry Potter And The Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Harry Potter leaves Privet Drive for the last time, facing the looming threat of Lord Voldemort and the Death Eaters. To stop Voldemort, Harry must find and destroy the remaining Horcruxes in a final battle.","courage, friendship, good vs. evil",adventurous,9-12,False
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,Harry Potter and the Goblet of Fire,J. K. Rowling,https://covers.openlibrary.org/b/id/12059372-L.jpg,https://openlibrary.org/works/OL82560W,"The fourth book in the Harry Potter franchise sees Harry returning for his fourth year at Hogwarts School of Witchcraft and Wizardry, along with his friends, Ron and Hermione . There is an upcoming tournament between the three major schools of magic, with one participant selected from each school by the Goblet of Fire. When Harry's name is drawn, even though he is not eligible and is a fourth player, he must compete in the dangerous contest.


----------
Contains:

 - [Harry Potter and the Goblet of Fire. 2/4](https://openlibrary.org/works/OL17910198W/Harry_Potter_and_the_Goblet_of_Fire._2_4)","Harry Potter And The Goblet Of Fire (Harry Potter, #4)",J.K. Rowling,"In the fourth year at Hogwarts, Harry Potter unexpectedly becomes a participant in a dangerous magical tournament, despite not being eligible. Along with his friends Ron and Hermione, Harry navigates the challenges of the competition.","Friendship, Magic, Courage, Identity",Adventurous,9-12,False
A Little Princess,Frances Hodgson Burnett,https://www.goodreads.com/book/show/3008.A_Little_Princess,A Little Princess,Frances Hodgson Burnett,https://covers.openlibrary.org/b/id/2328315-L.jpg,https://openlibrary.org/works/OL69630W,"This is a story about a different kind of princess than one might imagine; a princess that is an orphan - lonely, cold, hungry and abused. Sara Crewe begins life as the beloved, pampered daughter of a rich man. When he dies a pauper, she is thrown on the non-existent mercy of her small-minded, mercenary boarding school mistress. Stripped of all her belongings but for one set of clothes and a doll, Sara becomes a servant of the household. Hated by the schoolmistress for her independent spirit, Sara becomes a pariah in the household, with only a few secretly loyal friends. But through her inner integrity and strength of will, Sara Crewe maintains the deportment, inner nobility and generous spirit of a ""real"" princess.",A Little Princess,Frances Hodgson Burnett,"A story about a princess who faces loss, hardship, and mistreatment, but maintains her dignity and kindness through it all.","resilience, kindness, friendship",uplifting,8-12,False
"You Are Special (Wemmicksville, #1)",Max Lucado,https://www.goodreads.com/book/show/56728.You_Are_Special,You Are Special,Max Lucado,https://covers.openlibrary.org/b/id/841929-L.jpg,https://openlibrary.org/works/OL57140W,Punchinello's opinion of himself changes after talking to his creator.,"You Are Special (Wemmicksville, #1)",Max Lucado,A story about self-worth and acceptance as Punchinello's perspective shifts after a conversation with his creator.,"self-worth, acceptance, identity",introspective,6-8,False
"Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1)",Betty MacDonald,https://www.goodreads.com/book/show/25051.Mrs_Piggle_Wiggle,Mrs. Piggle-Wiggle,Betty MacDonald,https://covers.openlibrary.org/b/id/6807372-L.jpg,https://openlibrary.org/works/OL273761W,"Mrs. Piggle-Wiggle is an extraordinarily magic little woman with a talent for curing children of their bad behaviors. She lives in an upside-down house and is the best friend of every child in town. Watch as she cleverly takes on a never go to bedder, cures a messy room, and more.","Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1)",Betty Macdonald,"Mrs. Piggle-Wiggle uses her magical talents to help children in town overcome their bad behaviors, such as refusing to go to bed and having messy rooms.","magic, behavior, friendship",whimsical,6-8,False
Lilly's Purple Plastic Purse,Kevin Henkes,https://www.goodreads.com/book/show/825081.Lilly_s_Purple_Plastic_Purse,Lilly's Purple Plastic Purse,Kevin Henkes,https://covers.openlibrary.org/b/id/432406-L.jpg,https://openlibrary.org/works/OL469206W,"Lilly loves everything about school, especially her teacher, but when he asks her to wait a while before showing her new purse, she does something for which she is very sorry later.",Lilly'S Purple Plastic Purse,Kevin Henkes,A story about a girl named Lilly who adores her teacher and school but makes a mistake she regrets.,"school, mistake, regret, forgiveness",reflective,4-6,False
"Holes (Holes, #1)",Louis Sachar,https://www.goodreads.com/book/show/38709.Holes,Holes,Louis Sachar,https://covers.openlibrary.org/b/id/19797-L.jpg,https://openlibrary.org/works/OL116250W,"Stanley Yelnats is under a curse. A curse that began with his no-good-dirty-rotten-pig-stealing great-great-grandfather and has since followed generations of Yelnatses. Now Stanley has been unjustly sent to a boys' detention center, Camp Green Lake, where the boys build character by spending all day, every day, digging holes exactly five feet wide and five feet deep. There is no lake at Camp Green Lake. But there are an awful lot of holes. 
It doesn't take long for Stanley to realize that Camp Green Lake isn't what it seems. Are the boys digging holes because the warden is looking for something? But what could be buried under a dried-up lake? It's up to Stanley to dig up the truth.","Holes (Holes, #1)",Louis Sachar,"Stanley Yelnats is sent to a boys' detention center where he is forced to dig holes all day. As he digs, he uncovers secrets about the camp and its true purpose.","curse, justice, discovery, friendship",mysterious,9-12,False
The Mitten,Jan Brett,https://www.goodreads.com/book/show/967494.The_Mitten,The mitten,Jan Brett,https://covers.openlibrary.org/b/id/259482-L.jpg,https://openlibrary.org/works/OL13933W,Several animals sleep snugly in Nicki's lost mitten until the bear sneezes.,The Mitten,Jan Brett,"A group of animals find comfort and warmth in a lost mitten, but their peace is disrupted when a bear sneezes.","friendship, sharing, cozy",whimsical,3-5,False
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,Harry Potter and the Order of the Phoenix,J. K. Rowling,https://covers.openlibrary.org/b/id/10523466-L.jpg,https://openlibrary.org/works/OL82548W,"After the Dementors’ attack on his cousin Dudley, Harry knows he is about to become Voldemort’s next target.

Although many are denying the Dark Lord’s return, Harry is not alone, and a secret order is gathering at Grimmauld Place to fight against the Dark forces.

Meanwhile, Voldemort’s savage assaults on Harry’s mind are growing stronger every day.

He must allow Professor Snape to teach him to protect himself before he runs out of time.
([source][1])


----------
This work has also been published in multiple volumes. See:

 - [Harry Potter and the Order of the Phoenix: III](https://openlibrary.org/works/OL17937113W/Harry_Potter_and_the_Order_of_the_Phoenix_Chapters_17-23)
 - [Harry Potter and the Order of the Phoenix: IV](https://openlibrary.org/works/OL17915213W/Harry_Potter_and_the_Order_of_the_Phoenix_Chapters_24-30)

  [1]: https://www.jkrowling.com/book/harry-potter-order-phoenix/","Harry Potter And The Order Of The Phoenix (Harry Potter, #5)",J.K. Rowling,"Harry Potter faces the looming threat of Voldemort's return and must learn to protect himself with the help of Professor Snape and a secret order. As Voldemort's attacks on Harry's mind intensify, Harry must prepare to face his destiny.","friendship, courage, good vs. evil, loyalty",dark,9-12,False
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,Harry Potter and the Half-Blood Prince,J. K. Rowling,https://covers.openlibrary.org/b/id/10716273-L.jpg,https://openlibrary.org/works/OL82565W,"One summer night, when Dumbledore arrives at Privet Drive to collect Harry Potter, his wand hand is blackened and shriveled, but he will not reveal why.

Rumours and suspicion spread through the wizarding world – it feels as if even Hogwarts itself might be under threat.

Harry is convinced that Malfoy bears the Dark Mark: could there be a Death Eater amongst them?

He will need powerful magic and true friends as, with the help of Dumbledore, he investigates Voldemort’s darkest secrets.

([source][2])

Preceded by: [Harry Potter and the Order of the Phoenix][1]
Followed by: [Harry Potter and the Deathly Hallows][3]


----------
Contains:
[Harry Potter and the Half-Blood Prince [3/4]](https://openlibrary.org/works/OL27299760W)
[Harry Potter and the Half-Blood Prince [4/4]](https://openlibrary.org/works/OL27294904W)

  [1]: https://openlibrary.org/works/OL13716955W/Harry_Potter_and_the_Order_of_the_Phoenix
  [2]: https://www.jkrowling.com/book/harry-potter-half-blood-prince/
  [3]: https://openlibrary.org/works/OL82586W/Harry_Potter_and_the_Deathly_Hallows","Harry Potter And The Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Harry Potter is summoned summer night with a mysterious injury, leading to rumors and suspicion in the wizarding world. Harry, along with Dumbledore's help, investigates Voldemort's secrets while facing potential threats at Hogwarts.","friendship, loyalty, mystery, darkness",mysterious,9-12,False
The Kissing Hand,Audrey Penn,https://www.goodreads.com/book/show/18419.The_Kissing_Hand,The Kissing Hand,Audrey Penn,https://covers.openlibrary.org/b/id/673400-L.jpg,https://openlibrary.org/works/OL1899645W,"When Chester the raccoon is reluctant to go to kindergarten for the first time, his mother teaches him a secret way to carry her love with him.",The Kissing Hand,Audrey Penn,"A story about a raccoon who is nervous about going to kindergarten for the first time, but learns a special way to feel his mother's love even when she's not around.","separation anxiety, mother's love, coping",comforting,3-5,False
Sylvester and the Magic Pebble,William Steig,https://www.goodreads.com/book/show/457762.Sylvester_and_the_Magic_Pebble,Sylvester and the magic pebble,William Steig,https://covers.openlibrary.org/b/id/12727145-L.jpg,https://openlibrary.org/works/OL22328W,"In a moment of fright, Sylvester the donkey asks his magic pebble to turn him into a rock but then can not hold the pebble to wish himself back to normal again.",Sylvester And The Magic Pebble,William Steig,"After turning into a rock with his magic pebble, Sylvester struggles to return to his normal self.","fear, transformation, family",emotional,6-8,False
Strega Nona,Tomie dePaola,https://www.goodreads.com/book/show/581409.Strega_Nona,Strega Nona,Tomie dePaola,https://covers.openlibrary.org/b/id/4482016-L.jpg,https://openlibrary.org/works/OL61090W,"Strega Nona is a lovable grandmotherly witch who helps all the townspeople with their problems.She hires Big Anthony to help her with chores. One day he hears her singing to the pasta pot. He however, does not see her blowing three kisses to make it stop. Her one rule is never to touch the pasta pot, but when she is away Big Anthony takes it out and sing the song to it, then invites all the townspeople to come and get pasta. The problem comes when he c\n't stop the pot. In the end, his punishment fits the crime.",Strega Nona,Tomie Depaola,"A mischievous assistant disobeys the one rule given by a kind witch, leading to chaos in the town.","disobedience, consequences, magic",whimsical,4-7,False
The Dot,Peter H. Reynolds,https://www.goodreads.com/book/show/825377.The_Dot,The dot,Peter H. Reynolds,https://covers.openlibrary.org/b/id/516041-L.jpg,https://openlibrary.org/works/OL2435178W,"Vashti believes that she cannot draw, but her art teacher's encouragement leads her to change her mind.",The Dot,Peter H. Reynolds,A story about a girl named Vashti who discovers her artistic talent with the help of her art teacher's encouragement.,"self-discovery, creativity, encouragement",uplifting,4-8,False
There Was an Old Lady Who Swallowed a Fly,Pam Adams,https://www.goodreads.com/book/show/949709.There_Was_an_Old_Lady_Who_Swallowed_a_Fly,There was an old lady who swallowed a fly,Pam Adams,https://covers.openlibrary.org/b/id/651393-L.jpg,https://openlibrary.org/works/OL18299726W,"An illustrated version of the cumulative folk song in which the solution proves worse than the predicament when an old lady swallows a fly. Some pages are die-cut, permitting a portion of the next illustration to be seen.",There Was An Old Lady Who Swallowed A Fly,Pam Adams,"This book is an illustrated version of a folk song where an old lady swallows a fly, leading to humorous consequences. The story features die-cut pages that reveal a portion of the next illustration.","humor, folksong, consequences",humorous,3-5,False
Coraline,Neil Gaiman,https://www.goodreads.com/book/show/17061.Coraline,Coraline,Neil Gaiman,https://covers.openlibrary.org/b/id/14171421-L.jpg,https://openlibrary.org/works/OL679358W,"When Coraline steps through a door to find another house strangely similar to her own (only better), things seem marvelous.

But there's another mother there, and another father, and they want her to stay and be their little girl. They want to change her and never let her go.

Coraline will have to fight with all her wit and courage if she is to save herself and return to her ordinary life.",Coraline,Neil Gaiman,"A girl named Coraline discovers a parallel world where everything seems perfect, but she soon realizes that the other mother and father want to keep her there forever. Coraline must use her wits and bravery to escape and return to her own life.","parallel world, bravery, identity, family",adventurous,9-12,False
Number the Stars,Lois Lowry,https://www.goodreads.com/book/show/47281.Number_the_Stars,Number the Stars,Lois Lowry,https://covers.openlibrary.org/b/id/13249599-L.jpg,https://openlibrary.org/works/OL1846074W,"Ten-year-old Annemarie Johansen and her best friend, Ellen Rosen, often think about life before the war. But it's now 1943, and their life in Copenhagen is filled with school, food shortages, and the Nazi soldiers marching in their town.
The Nazis won't stop. The Jews of Denmark are being ""relocated,"" so Ellen moves in with the Johansens and pretends to be part of the family. Then Annemarie is asked to go on a dangerous mission. Somehow she must find the strength and courage to save her best friend's life. There's no turning back now.",Number The Stars,Lois Lowry,"Set in Copenhagen during World War II, two best friends navigate life under Nazi occupation. When the Jews of Denmark are in danger, one girl must find the courage to save her friend's life.","friendship, courage, war, loyalty",brave,9-12,False
"Little House on the Prairie (Little House, #3)",Laura Ingalls Wilder,https://www.goodreads.com/book/show/77767.Little_House_on_the_Prairie,Little House on the Prairie,Laura Ingalls Wilder,https://covers.openlibrary.org/b/id/11277564-L.jpg,https://openlibrary.org/works/OL1719792W,"When Laura Ingalls and her family leave their little house in the Big Woods of Wisconsin, they head west for the open prairie skies of Kansas Territory. They travel for many days in their covered wagon until they find the perfect spot for Pa to build them a new home. Soon they are planting and plowing, hunting wild ducks and turkeys, and gathering grass for their cows. But just when they begin to feel settled, they are caught in the middle of a dangerous conflict.

Based on the real-life adventures of Laura Ingalls Wilder, Little House on the Prairie is the third book in the award-winning Little House series, which has captivated generations of readers with its depiction of life on the American frontier.
([source][1])


  [1]: https://www.littlehousebooks.com/books/little-house-on-the-prairie/9780062470744/","Little House On The Prairie (Little House, #3)",Laura Ingalls Wilder,"A family leaves their home in Wisconsin to start a new life on the prairie in Kansas Territory, facing challenges and adventures along the way.","family, pioneering spirit, adventure, hardship",adventurous,8-12,False
"The Borrowers (The Borrowers, #1)",Mary Norton,https://www.goodreads.com/book/show/348573.The_Borrowers,The Borrowers,Mary Norton,https://covers.openlibrary.org/b/id/6384556-L.jpg,https://openlibrary.org/works/OL78564W,"This book is full of fun and adventure, explaining the life of not exactly normal people. Journey alongside the ""Borrowers"" as they go on a daring adventure, outwitting every problem they face.","The Borrowers (The Borrowers, #1)",Mary Norton,A fun and adventurous story following the lives of unique characters known as the Borrowers on daring escapades.,"adventure, ingenuity, bravery",adventurous,8-10,False
"Tales of a Fourth Grade Nothing (Fudge, #1)",Judy Blume,https://www.goodreads.com/book/show/37741.Tales_of_a_Fourth_Grade_Nothing,Tales of a Fourth Grade Nothing,Judy Blume,https://covers.openlibrary.org/b/id/9268263-L.jpg,https://openlibrary.org/works/OL1838382W,"Tales of a Fourth Grade Nothing is a children's novel written by American author Judy Blume and published in 1972. It is the first in the Fudge series. The story focuses on a nine-year-old boy named Peter Warren Hatcher and his relationship with his two-and-a-half-year-old brother, Farley Drexel ""Fudge"" Hatcher. 


----------
Also contained in:
[Tales of a Fourth Grade Nothing / Superfudge](https://openlibrary.org/works/OL24313213W)","Tales Of A Fourth Grade Nothing (Fudge, #1)",Judy Blume,A story about a fourth-grade boy dealing with his mischievous younger brother.,"sibling relationships, family dynamics, growing up",humorous,8-10,False
The Going To Bed Book,Sandra Boynton,https://www.goodreads.com/book/show/53580.The_Going_To_Bed_Book,The Going to Bed Book,Sandra Boynton,https://covers.openlibrary.org/b/id/438326-L.jpg,https://openlibrary.org/works/OL1738446W,"An assortment of animals on a boat take a bath, put on their pajamas, brush their teeth, and exercise before going to bed.",The Going To Bed Book,Sandra Boynton,An assortment of animals on a boat go through their bedtime routine before going to bed.,"bedtime, routine, animals",calm,3-5,False
Because of Winn-Dixie,Kate DiCamillo,https://www.goodreads.com/book/show/357664.Because_of_Winn_Dixie,Because of Winn-Dixie,Kate DiCamillo,https://covers.openlibrary.org/b/id/2241356-L.jpg,https://openlibrary.org/works/OL468658W,"Ten-year-old India Opal Buloni describes her first summer in the town of Naomi, Florida, and all the good things that happen to her because of her big ugly dog Winn-Dixie.",Because Of Winn-Dixie,Kate Dicamillo,"A ten-year-old girl named India Opal Buloni recounts her first summer in the town of Naomi, Florida, and the positive experiences she has thanks to her large, scruffy dog named Winn-Dixie.","friendship, community, acceptance",heartwarming,8-12,False
The Napping House,Audrey Wood,https://www.goodreads.com/book/show/815234.The_Napping_House,The Napping House (La Casa Adormecida),Audrey Wood,https://covers.openlibrary.org/b/id/114437-L.jpg,https://openlibrary.org/works/OL547418W,"In this cumulative tale, a wakeful flea atop a number of sleeping creatures causes a commotion, with just one bite.",The Napping House,Audrey Wood,A wakeful flea disrupts a group of sleeping creatures with its bite in this cumulative tale.,"disruption, sleep, commotion",humorous,3-5,False
Mike Mulligan and His Steam Shovel,Virginia Lee Burton,https://www.goodreads.com/book/show/153542.Mike_Mulligan_and_His_Steam_Shovel,Mike Mulligan and His Steam Shovel,Virginia Lee Burton,https://covers.openlibrary.org/b/id/1196476-L.jpg,https://openlibrary.org/works/OL3253363W,"When Mike Mulligan and his steam shovel, Mary Ann, lose their jobs to the gasoline, electric, and diesel motor shovels, they go to a little country town where they find that one new job leads to another.",Mike Mulligan And His Steam Shovel,Virginia Lee Burton,"A story about Mike Mulligan and his steam shovel, Mary Ann, who find new opportunities in a small town after losing their jobs to more modern machines.","adaptability, friendship, perseverance",hopeful,3-5,False
The Day the Crayons Quit,Drew Daywalt,https://www.goodreads.com/book/show/16101018-the-day-the-crayons-quit,The Day the Crayons Quit,Drew Daywalt,https://covers.openlibrary.org/b/id/8314152-L.jpg,https://openlibrary.org/works/OL17104369W,"When Duncan arrives at school one morning, he finds a stack of letters, one from each of his crayons, complaining about how he uses them.",The Day The Crayons Quit,Drew Daywalt,"A boy named Duncan receives letters from his crayons, each expressing their feelings about how they are used.","creativity, friendship, emotions",humorous,4-7,False
"Mary Poppins (Mary Poppins, #1)",P.L. Travers,https://www.goodreads.com/book/show/152380.Mary_Poppins,Mary Poppins,P. L. Travers,https://covers.openlibrary.org/b/id/7421-L.jpg,https://openlibrary.org/works/OL262141W,"An extraordinary English nanny blows in on the East Wind with her parrot-headed umbrella and magic carpetbag and introduces her charges, Jane and Michael, to some delightful people and experiences.","Mary Poppins (Mary Poppins, #1)",P.L. Travers,An English nanny arrives with magical items and introduces two children to new people and experiences.,"magic, adventure, friendship",whimsical,6-8,False
"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,https://www.goodreads.com/book/show/78411.The_Bad_Beginning,The Bad Beginning,Lemony Snicket,https://covers.openlibrary.org/b/id/7255974-L.jpg,https://openlibrary.org/works/OL15104144W,"After the sudden death of their parents, the three Baudelaire children must depend on each other and their wits when it turns out that the distant relative who is appointed their guardian is determined to use any means necessary to get their fortune.","The Bad Beginning (A Series Of Unfortunate Events, #1)",Lemony Snicket,Three siblings must rely on each other and their intelligence to outsmart their greedy guardian after the death of their parents.,"family, resourcefulness, greed, survival",adventurous,9-12,False
"Heidi (Heidi, #1-2)",Johanna Spyri,https://www.goodreads.com/book/show/93.Heidi,Heidi,Johanna Spyri,https://covers.openlibrary.org/b/id/2668686-L.jpg,https://openlibrary.org/works/OL1455042W,"***The famous Swiss classic about Heidi, a five-year-old orphan girl*** who goes to live with her grandfather, and his goats, in an alm (Alpine pasture)...up the Alps. **One of the most loved classics ...both by children and adults, alike.**

***Little orphan Heidi goes to live high in the Alps with her gruff grandfather and brings happiness to all who know her on the mountain. When Heidi goes to Frankfurt to work in a wealthy household, she dreams of returning to the mountains and meadows, her friend Peter, and her beloved grandfather.***","Heidi (Heidi, #1-2)",Johanna Spyri,"A story about a young orphan girl named Heidi who brings joy to her gruff grandfather and others in the Alpine mountains. When she is taken to Frankfurt to work, she longs to return to her mountain home.","family, friendship, nature",heartwarming,8-10,False
Bread and Jam for Frances,Russell Hoban,https://www.goodreads.com/book/show/911579.Bread_and_Jam_for_Frances,Bread and jam for Frances,Russell Hoban,https://covers.openlibrary.org/b/id/23710-L.jpg,https://openlibrary.org/works/OL74290W,"""Jam on toast,"" sings Frances about the food she likes most--until she has it for the sixth meal in two days",Bread And Jam For Frances,Russell Hoban,"Frances becomes tired of eating jam on toast after having it repeatedly, leading to a change in her favorite food.","food, preferences, change",playful,3-5,False
"Are You There God? It’s Me, Margaret",Judy Blume,https://www.goodreads.com/book/show/37732.Are_You_There_God_It_s_Me_Margaret,"Are You There God? It's Me, Margaret.",Judy Blume,https://covers.openlibrary.org/b/id/12388102-L.jpg,https://openlibrary.org/works/OL268217W,"Are You There God? It's Me, Margaret. is a 1970 novel by Judy Blume, typically categorized as a young adult book. It follows a sixth-grade girl who has grown up without a religious affiliation, due to her parents' interfaith marriage. The novel explores her quest for a single religion, while confronting typical issues faced by early adolescent girls going through puberty, such as buying her first bra, having her first period, and feeling attracted to certain boys. The novel has been frequently challenged since the 1980s for its frank discussions of sexual and religious topics.

In 2010, the book was placed on Time's list of the top 100 fiction books written in English since 1923.","Are You There God? It’S Me, Margaret",Judy Blume,"A novel about a sixth-grade girl navigating puberty and searching for a religious affiliation due to her parents' interfaith marriage. The book explores themes of identity, growing up, and the challenges faced .","identity, growing up, religion, puberty",coming-of-age,12-14,False
