title,author,current_ml_estimate,ml_confidence,search_query,google_search_url,verified_lexile,lexile_source,collection_date,notes,status,lexile_prefix,lexile_numeric,book_type,predicted_lexile_age_model,age_model_confidence,prediction_method
Knuffle Bunny: A Cautionary Tale,Mo Willems,,,"""Knuffle Bunny: A Cautionary Tale"" ""Mo Willems"" lexile level","https://www.google.com/search?q=""Knuffle+Bunny:+A+Cautionary+Tale""+""Mo+Willems""+lexile+level",460,Educational Sources,2025-09-03,"Caldecott Honor, Ages 3-7, AR 1.6, AR: 1.6, Guided Reading: J",Complete,,460.0,Standard_Lexile,,,Web Research Collection
Elephant and Piggie: I Will Take a Bath,Mo Willems,,,"""Elephant and Piggie: I Will Take a Bath"" ""Mo Willems"" lexile level","https://www.google.com/search?q=""Elephant+and+Piggie:+I+Will+Take+a+Bath""+""Mo+Willems""+lexile+level",140,Educational Sources,2025-09-03,"Theodor Seuss Geisel Medal, Ages 3-6, Guided Reading G, AR: 0.5, Guided Reading: G",Complete,,140.0,Standard_Lexile,,,Web Research Collection
Elephant and Piggie: Should I Share My Ice Cream?,Mo Willems,,,"""Elephant and Piggie: Should I Share My Ice Cream?"" ""Mo Willems"" lexile level","https://www.google.com/search?q=""Elephant+and+Piggie:+Should+I+Share+My+Ice+Cream?""+""Mo+Willems""+lexile+level",210,Educational Sources,2025-09-03,"Theodor Seuss Geisel Medal series, Ages 3-6, Guided Reading I, AR: 0.8, Guided Reading: I",Complete,,210.0,Standard_Lexile,,,Web Research Collection
Pete the Cat: I Love My White Shoes,Eric Litwin,,,"""Pete the Cat: I Love My White Shoes"" ""Eric Litwin"" lexile level","https://www.google.com/search?q=""Pete+the+Cat:+I+Love+My+White+Shoes""+""Eric+Litwin""+lexile+level",AD200.0,Educational Sources,2025-09-03,"Ages 3-6, Repetitive pattern book, Beginner reader, AR: 1.2, Guided Reading: H",Complete,AD,200.0,Adult_Directed,,,Web Research Collection
Pete the Cat and His Four Groovy Buttons,Eric Litwin,,,"""Pete the Cat and His Four Groovy Buttons"" ""Eric Litwin"" lexile level","https://www.google.com/search?q=""Pete+the+Cat+and+His+Four+Groovy+Buttons""+""Eric+Litwin""+lexile+level",AD220.0,Educational Sources,2025-09-03,"Ages 3-6, Counting and pattern book, AR: 1.3, Guided Reading: H",Complete,AD,220.0,Adult_Directed,,,Web Research Collection
Biscuit,Alyssa Satin Capucilli,,,"""Biscuit"" ""Alyssa Satin Capucilli"" lexile level","https://www.google.com/search?q=""Biscuit""+""Alyssa+Satin+Capucilli""+lexile+level",250,Educational Sources,2025-09-03,"My First I Can Read, Ages 3-6, Simple puppy stories, AR: 1.4, Guided Reading: F",Complete,,250.0,Standard_Lexile,,,Web Research Collection
Biscuit Finds a Friend,Alyssa Satin Capucilli,,,"""Biscuit Finds a Friend"" ""Alyssa Satin Capucilli"" lexile level","https://www.google.com/search?q=""Biscuit+Finds+a+Friend""+""Alyssa+Satin+Capucilli""+lexile+level",280,Educational Sources,2025-09-03,"My First I Can Read, Ages 3-6, AR: 1.5, Guided Reading: F",Complete,,280.0,Standard_Lexile,,,Web Research Collection
Curious George,H.A. Rey,,,"""Curious George"" ""H.A. Rey"" lexile level","https://www.google.com/search?q=""Curious+George""+""H.A.+Rey""+lexile+level",480,Educational Sources,2025-09-03,"Classic picture book, Ages 4-8, Original 1941 edition, AR: 3.2, Guided Reading: I",Complete,,480.0,Standard_Lexile,,,Web Research Collection
Curious George Takes a Job,H.A. Rey,,,"""Curious George Takes a Job"" ""H.A. Rey"" lexile level","https://www.google.com/search?q=""Curious+George+Takes+a+Job""+""H.A.+Rey""+lexile+level",520,Educational Sources,2025-09-03,"Classic picture book series, Ages 4-8, AR: 3.4, Guided Reading: J",Complete,,520.0,Standard_Lexile,,,Web Research Collection
Llama Llama Red Pajama,Anna Dewdney,,,"""Llama Llama Red Pajama"" ""Anna Dewdney"" lexile level","https://www.google.com/search?q=""Llama+Llama+Red+Pajama""+""Anna+Dewdney""+lexile+level",420,Educational Sources,2025-09-03,"Ages 2-5, Bedtime/separation anxiety, ATOS 2.0, AR: 2.0, Guided Reading: H",Complete,,420.0,Standard_Lexile,,,Web Research Collection
Llama Llama Mad at Mama,Anna Dewdney,,,"""Llama Llama Mad at Mama"" ""Anna Dewdney"" lexile level","https://www.google.com/search?q=""Llama+Llama+Mad+at+Mama""+""Anna+Dewdney""+lexile+level",410,Educational Sources,2025-09-03,"Ages 2-5, Dealing with frustration, AR: 1.9, Guided Reading: H",Complete,,410.0,Standard_Lexile,,,Web Research Collection
Splat the Cat,Rob Scotton,,,"""Splat the Cat"" ""Rob Scotton"" lexile level","https://www.google.com/search?q=""Splat+the+Cat""+""Rob+Scotton""+lexile+level",AD300.0,Educational Sources,2025-09-03,"Ages 4-7, I Can Read Level 1, First day of school, AR: 1.8, Guided Reading: H",Complete,AD,300.0,Adult_Directed,,,Web Research Collection
Splat the Cat: The Name of the Game,Rob Scotton,,,"""Splat the Cat: The Name of the Game"" ""Rob Scotton"" lexile level","https://www.google.com/search?q=""Splat+the+Cat:+The+Name+of+the+Game""+""Rob+Scotton""+lexile+level",AD320.0,Educational Sources,2025-09-03,"Ages 4-7, I Can Read Level 1, AR: 1.9, Guided Reading: H",Complete,AD,320.0,Adult_Directed,,,Web Research Collection
Magic Tree House #1: Dinosaurs Before Dark,Mary Pope Osborne,,,"""Magic Tree House #1: Dinosaurs Before Dark"" ""Mary Pope Osborne"" lexile level","https://www.google.com/search?q=""Magic+Tree+House+#1:+Dinosaurs+Before+Dark""+""Mary+Pope+Osborne""+lexile+level",510,Multiple Educational Sources,2025-09-03,"AR 2.5, Ages 6-9, Grades 2-3, Adventure series, AR: 2.5, Guided Reading: M",Complete,,510.0,Standard_Lexile,,,Web Research Collection
Magic Tree House #2: The Knight at Dawn,Mary Pope Osborne,,,"""Magic Tree House #2: The Knight at Dawn"" ""Mary Pope Osborne"" lexile level","https://www.google.com/search?q=""Magic+Tree+House+#2:+The+Knight+at+Dawn""+""Mary+Pope+Osborne""+lexile+level",480,Educational Sources,2025-09-03,"AR 2.8, Ages 6-9, Grades 2-3, AR: 2.8, Guided Reading: M",Complete,,480.0,Standard_Lexile,,,Web Research Collection
The Boxcar Children,Gertrude Chandler Warner,,,"""The Boxcar Children"" ""Gertrude Chandler Warner"" lexile level","https://www.google.com/search?q=""The+Boxcar+Children""+""Gertrude+Chandler+Warner""+lexile+level",560,Educational Sources,2025-09-03,"AR 3.8, Ages 7-10, Grades 2-5, Mystery series classic, AR: 3.8, Guided Reading: L",Complete,,560.0,Standard_Lexile,,,Web Research Collection
Boxcar Children #2: Surprise Island,Gertrude Chandler Warner,,,"""Boxcar Children #2: Surprise Island"" ""Gertrude Chandler Warner"" lexile level","https://www.google.com/search?q=""Boxcar+Children+#2:+Surprise+Island""+""Gertrude+Chandler+Warner""+lexile+level",580,Educational Sources,2025-09-03,"AR 4.0, Ages 7-10, Grades 2-5, AR: 4.0, Guided Reading: L",Complete,,580.0,Standard_Lexile,,,Web Research Collection
Ramona the Pest,Beverly Cleary,,,"""Ramona the Pest"" ""Beverly Cleary"" lexile level","https://www.google.com/search?q=""Ramona+the+Pest""+""Beverly+Cleary""+lexile+level",860,Educational Sources,2025-09-03,"AR 4.7, Ages 6-9, Grades 2-4, Newbery Medal author, AR: 4.7, Guided Reading: N",Complete,,860.0,Standard_Lexile,,,Web Research Collection
"Ramona Quimby, Age 8",Beverly Cleary,,,"""Ramona Quimby, Age 8"" ""Beverly Cleary"" lexile level","https://www.google.com/search?q=""Ramona+Quimby,+Age+8""+""Beverly+Cleary""+lexile+level",970,Educational Sources,2025-09-03,"AR 5.0, Ages 8-12, Grades 3-5, Newbery Honor Book, AR: 5.0, Guided Reading: O",Complete,,970.0,Standard_Lexile,,,Web Research Collection
"Encyclopedia Brown, Boy Detective",Donald J. Sobol,,,"""Encyclopedia Brown, Boy Detective"" ""Donald J. Sobol"" lexile level","https://www.google.com/search?q=""Encyclopedia+Brown,+Boy+Detective""+""Donald+J.+Sobol""+lexile+level",660,Educational Sources,2025-09-03,"AR 4.5, Ages 8-12, Grades 3-6, Mystery series, AR: 4.5, Guided Reading: M",Complete,,660.0,Standard_Lexile,,,Web Research Collection
Encyclopedia Brown and the Case of the Secret Pitch,Donald J. Sobol,,,"""Encyclopedia Brown and the Case of the Secret Pitch"" ""Donald J. Sobol"" lexile level","https://www.google.com/search?q=""Encyclopedia+Brown+and+the+Case+of+the+Secret+Pitch""+""Donald+J.+Sobol""+lexile+level",680,Educational Sources,2025-09-03,"AR 4.6, Ages 8-12, Grades 3-6, AR: 4.6, Guided Reading: M",Complete,,680.0,Standard_Lexile,,,Web Research Collection
Tom's Midnight Garden,Philippa Pearce,,,,,,,,"Ages 8-12, Grades 3-7, 1958 Carnegie Medal winner, classic children's literature",Test_Book,,,,,,
The Invention of Hugo Cabret,Brian Selznick,,,,,,,,"Ages 9-12, Grades 3-8, AR 5.1, 2008 Caldecott Medal winner, hybrid novel/graphic format",Test_Book,,,,,,
Blueberries for Sal,Robert McCloskey,,,,,,,,"Ages 2-7, PreK-Grade 2, Caldecott Honor Book, excellent read-aloud",Test_Book,,,,,,
The Rainbow Fish,Marcus Pfister,,,,,,,,"Ages 4-8, PreK-Grade 2, AR 3.3, picture book with moral themes",Test_Book,,,,,,
The Very Busy Spider,Eric Carle,,,,,,,,"Ages 2-5, PreK-K, multi-sensory book with textured illustrations",Test_Book,,,,,,
Sideways Stories from Wayside School,Louis Sachar,,,,,,,,"Ages 7-12, Grades 2-5, perfect for beginning chapter book readers",Test_Book,,,,,,
The Indian in the Cupboard,Lynne Reid Banks,,,,,,,,"Ages 8-12, Grades 3-5, Guided Reading Level R, 227 pages",Test_Book,,,,,,
Peter Pan,J.M. Barrie,,,,,,,,"Ages 8-10, Grades 1-6, AR 4.7, classic fantasy, 18,338 words",Test_Book,,,,,,
The Bad Beginning,Lemony Snicket,,,,,,,,"Ages 10-14, Grades 5-7, AR 6.4, Series of Unfortunate Events #1, sophisticated vocabulary",Test_Book,,,,,,
Beezus and Ramona,Beverly Cleary,,,,,,,,"Ages 8-12, Grades 3-5, AR 4.5, first book in Ramona series, 22,018 words",Test_Book,,,,,,
Sadako and the Thousand Paper Cranes,Eleanor Coerr,,,,,,,,"Ages 8-12, Grades 3-6, historical fiction, sensitive themes",Test_Book,,,,,,
The Westing Game,Ellen Raskin,,,,,,,,"Ages 8-14, Grades 3-7, AR 5.3, 1979 Newbery Medal winner, mystery novel",Test_Book,,,,,,
"Lyle, Lyle, Crocodile",Bernard Waber,,,,,,,,"Ages 4-8, K-2, AR 1.8, picture book series, sight word practice",Test_Book,,,,,,
Little House in the Big Woods,Laura Ingalls Wilder,,,,,,,,"Ages 7-11, Grade 2+ literature, AR 5.3, historical fiction, 33,586 words",Test_Book,,,,,,
Anne of Ingleside,L.M. Montgomery,,,,,,,,"Ages 12-16, Grades 6-8, 6th book in Anne series, mature themes",Test_Book,,,,,,
The Story of Ferdinand,Munro Leaf,,,"""The Story of Ferdinand"" ""Munro Leaf"" lexile level",,AD760L,Educational Sources,2025-09-03,"1936 classic by Munro Leaf, AD760L, ages 3-7, sophisticated vocabulary about peaceful bull",Complete,AD,760.0,Adult_Directed,,,
Caps for Sale,Esphyr Slobodkina,,,"""Caps for Sale"" ""Esphyr Slobodkina"" lexile level",,AD480L,Educational Sources,2025-09-03,"1938 Esphyr Slobodkina classic, AD480L, ages 3-7, peddler and monkeys folktale",Complete,AD,480.0,Adult_Directed,,,
Mike Mulligan and His Steam Shovel,Virginia Lee Burton,,,"""Mike Mulligan and His Steam Shovel"" ""Virginia Lee Burton"" lexile level",,580L,Bookroo/Educational,2025-09-03,"1939 Virginia Lee Burton, 580L, ages 4-8, Caldecott Honor, construction themes",Complete,,580.0,Standard_Lexile,,,
The Little Red Hen,Paul Galdone,,,"""The Little Red Hen"" ""Paul Galdone"" lexile level",,AD500L,Educational Sources,2025-09-03,"Classic folktale retelling, AD500L, ages 3-7, work ethic themes",Complete,AD,500.0,Adult_Directed,,,
The Little Engine That Could,Watty Piper,,,"""The Little Engine That Could"" ""Watty Piper"" lexile level",,AD540L,Multiple Sources,2025-09-03,"Classic 1930 perseverance tale, AD540L, ages 2-5 (board) or 3-7, grade Preschool-K",Complete,AD,540.0,Adult_Directed,,,
Millions of Cats,Wanda Gag,,,"""Millions of Cats"" ""Wanda Gag"" lexile level",,580L,Multiple Sources,2025-09-03,"1928 Newbery Honor by Wanda Gag, 580L, ages 2-5, early American picture book",Complete,,580.0,Standard_Lexile,,,
The Song of the Swallows,Leo Politi,,,"""The Song of the Swallows"" ""Leo Politi"" lexile level",,620L,Educational Sources,2025-09-03,"1950 Leo Politi, 620L, ages 4-8, Caldecott Medal, Mission San Juan Capistrano",Complete,,620.0,Standard_Lexile,,,
Abraham Lincoln,Ingri and Edgar d'Aulaire,,,"""Abraham Lincoln"" ""Ingri and Edgar d'Aulaire"" lexile level",,900L,Multiple Sources,2025-09-03,"1940 Caldecott Medal by d'Aulaire, 900L, ages 9-12, grade 4-6, biographical picture book",Complete,,900.0,Standard_Lexile,,,
White Snow Bright Snow,Alvin Tresselt,,,"""White Snow Bright Snow"" ""Alvin Tresselt"" lexile level",,660L,Multiple Sources,2025-09-03,"1948 Caldecott Medal by Alvin Tresselt, 660L, ages 4-8, seasonal themes",Complete,,660.0,Standard_Lexile,,,
